id_lower,year,radio,population,users,attractiveness,cells_to_build
-100.81948740532826_24.385282141599326,NA,NA,32,8,0.0,0
-100.81948740532826_24.46707325258056,NA,NA,5,1,0.0,0
-100.5499928200924_24.630496059242333,NA,NA,10,2,0.0,0
-100.3703297632685_24.630496059242333,NA,NA,17,4,0.0,0
-100.28049823485654_24.385282141599326,NA,NA,20,5,0.0,0
-100.9093189337402_25.20078829432483,NA,NA,28,7,0.0,0
-100.81948740532826_24.712127491887145,NA,NA,12,3,0.0,0
-100.7296558769163_24.712127491887145,NA,NA,20,5,0.0,0
-100.46016129168045_25.444387895859457,NA,NA,33,8,0.0,0
-100.3703297632685_24.712127491887145,NA,NA,20,5,0.0,0
-100.7296558769163_26.252816012613508,NA,NA,8,2,0.0,0
-100.63982434850435_26.01086869800926,NA,NA,22,5,0.0,0
-100.63982434850435_26.172222619697713,NA,NA,34,8,0.0,0
-100.63982434850435_26.252816012613508,NA,NA,5,1,0.0,0
-100.5499928200924_25.93010841242947,NA,NA,31,7,0.0,0
-100.5499928200924_26.091573474384994,NA,NA,37,9,0.0,0
-100.5499928200924_26.172222619697713,NA,NA,13,3,0.0,0
-100.5499928200924_26.252816012613508,NA,NA,6,1,0.0,0
-100.46016129168045_26.091573474384994,NA,NA,10,2,0.0,0
-100.3703297632685_26.252816012613508,NA,NA,20,5,0.0,0
-100.28049823485654_26.252816012613508,NA,NA,8,2,0.0,0
-100.10083517803264_26.091573474384994,NA,NA,19,4,0.0,0
-100.9093189337402_26.333353532323734,NA,NA,21,5,0.0,0
-100.9093189337402_26.413835058545235,NA,NA,3,0,0.0,0
-100.9093189337402_26.735198841284596,NA,NA,0,0,0.0,0
-100.9093189337402_26.815398614221458,NA,NA,1,0,0.0,0
-100.81948740532826_26.333353532323734,NA,NA,1,0,0.0,0
-100.81948740532826_26.735198841284596,NA,NA,1,0,0.0,0
-100.81948740532826_26.815398614221458,NA,NA,1,0,0.0,0
-100.7296558769163_26.333353532323734,NA,NA,6,1,0.0,0
-100.7296558769163_26.735198841284596,NA,NA,10,2,0.0,0
-100.7296558769163_26.815398614221458,NA,NA,2,0,0.0,0
-100.63982434850435_26.494260471520562,NA,NA,1,0,0.0,0
-100.63982434850435_26.574629652018167,NA,NA,0,0,0.0,0
-100.5499928200924_26.815398614221458,NA,NA,7,1,0.0,0
-100.46016129168045_26.65494248133258,NA,NA,19,4,0.0,0
-100.46016129168045_26.735198841284596,NA,NA,36,9,0.0,0
-100.46016129168045_26.815398614221458,NA,NA,21,5,0.0,0
-100.46016129168045_26.975627931071763,NA,NA,20,5,0.0,0
-100.3703297632685_26.333353532323734,NA,NA,9,2,0.0,0
-100.3703297632685_27.055657242313234,NA,NA,0,0,0.0,0
-100.28049823485654_26.815398614221458,NA,NA,1,0,0.0,0
-100.28049823485654_26.895541683016987,NA,NA,0,0,0.0,0
-100.28049823485654_26.975627931071763,NA,NA,0,0,0.0,0
-100.28049823485654_27.055657242313234,NA,NA,0,0,0.0,0
-100.1906667064446_26.65494248133258,NA,NA,5,1,0.0,0
-100.1906667064446_26.735198841284596,NA,NA,1,0,0.0,0
-100.1906667064446_26.815398614221458,NA,NA,2,0,0.0,0
-100.10083517803264_26.815398614221458,NA,NA,1,0,0.0,0
-100.10083517803264_26.895541683016987,NA,NA,33,8,0.0,0
-100.9093189337402_27.295402402338105,NA,NA,4,1,0.0,0
-100.9093189337402_27.375202816142718,NA,NA,3,0,0.0,0
-100.9093189337402_27.45494572067861,NA,NA,4,1,0.0,0
-100.9093189337402_27.69382825222259,NA,NA,7,1,0.0,0
-100.9093189337402_27.773339995870302,NA,NA,8,2,0.0,0
-100.81948740532826_27.375202816142718,NA,NA,1,0,0.0,0
-100.81948740532826_27.53463100303685,NA,NA,8,2,0.0,0
-100.81948740532826_27.69382825222259,NA,NA,1,0,0.0,0
-100.7296558769163_27.375202816142718,NA,NA,0,0,0.0,0
-100.7296558769163_27.53463100303685,NA,NA,2,0,0.0,0
-100.7296558769163_27.69382825222259,NA,NA,1,0,0.0,0
-100.63982434850435_27.295402402338105,NA,NA,4,1,0.0,0
-100.63982434850435_27.375202816142718,NA,NA,0,0,0.0,0
-100.63982434850435_27.61425855083609,NA,NA,0,0,0.0,0
-100.5499928200924_27.295402402338105,NA,NA,1,0,0.0,0
-100.5499928200924_27.45494572067861,NA,NA,21,5,0.0,0
-100.5499928200924_27.69382825222259,NA,NA,0,0,0.0,0
-100.46016129168045_27.13562950119585,NA,NA,2,0,0.0,0
-100.46016129168045_27.295402402338105,NA,NA,1,0,0.0,0
-100.46016129168045_27.61425855083609,NA,NA,0,0,0.0,0
-100.46016129168045_27.69382825222259,NA,NA,0,0,0.0,0
-100.3703297632685_27.215544592701203,NA,NA,28,7,0.0,0
-100.3703297632685_27.295402402338105,NA,NA,6,1,0.0,0
-100.3703297632685_27.375202816142718,NA,NA,23,5,0.0,0
-100.3703297632685_27.61425855083609,NA,NA,1,0,0.0,0
-100.28049823485654_27.13562950119585,NA,NA,0,0,0.0,0
-100.28049823485654_27.215544592701203,NA,NA,2,0,0.0,0
-100.28049823485654_27.61425855083609,NA,NA,12,3,0.0,0
-100.1906667064446_27.61425855083609,NA,NA,4,1,0.0,0
-100.10083517803264_27.13562950119585,NA,NA,15,3,0.0,0
-100.10083517803264_27.53463100303685,NA,NA,2,0,0.0,0
-100.10083517803264_27.61425855083609,NA,NA,2,0,0.0,0
-100.9093189337402_28.644112654258493,NA,NA,37,9,0.0,0
-100.81948740532826_28.24918717747822,NA,NA,26,6,0.0,0
-100.63982434850435_28.407334281484882,NA,NA,14,3,0.0,0
-100.5499928200924_28.090805185022827,NA,NA,17,4,0.0,0
-100.5499928200924_28.170025488556703,NA,NA,36,9,0.0,0
-100.46016129168045_28.24918717747822,NA,NA,2,0,0.0,0
-100.46016129168045_28.407334281484882,NA,NA,5,1,0.0,0
-100.3703297632685_28.24918717747822,NA,NA,1,0,0.0,0
-100.28049823485654_28.170025488556703,NA,NA,11,2,0.0,0
-100.28049823485654_28.24918717747822,NA,NA,9,2,0.0,0
-100.1906667064446_28.090805185022827,NA,NA,2,0,0.0,0
-100.1906667064446_28.170025488556703,NA,NA,27,6,0.0,0
-100.10083517803264_28.01152637503609,NA,NA,4,1,0.0,0
-100.9093189337402_28.722920413707833,NA,NA,5,1,0.0,0
-100.9093189337402_28.801668816203076,NA,NA,0,0,0.0,0
-100.9093189337402_28.88035775780543,NA,NA,1,0,0.0,0
-100.9093189337402_28.95898713510335,NA,NA,3,0,0.0,0
-100.81948740532826_28.722920413707833,NA,NA,2,0,0.0,0
-100.7296558769163_28.722920413707833,NA,NA,6,1,0.0,0
-100.7296558769163_29.116066785775388,NA,NA,23,5,0.0,0
-100.63982434850435_28.722920413707833,NA,NA,13,3,0.0,0
-101.80763421785971_18.280675179591228,NA,NA,43,10,0.0,0
-101.80763421785971_18.365952003926687,NA,NA,34,8,0.0,0
-101.80763421785971_23.564480194787976,NA,NA,26,6,0.0,0
-101.80763421785971_23.729057835540004,NA,NA,22,5,0.0,0
-101.80763421785971_23.811268896512473,NA,NA,31,7,0.0,0
-101.71780268944778_23.234706690272183,NA,NA,19,4,0.0,0
-101.71780268944778_23.729057835540004,NA,NA,23,5,0.0,0
-101.62797116103582_23.069513046210616,NA,NA,22,5,0.0,0
-101.53813963262388_23.48211388939773,NA,NA,41,10,0.0,0
-101.53813963262388_23.564480194787976,NA,NA,22,5,0.0,0
-101.44830810421192_23.564480194787976,NA,NA,4,1,0.0,0
-101.44830810421192_23.64679488931916,NA,NA,24,6,0.0,0
-101.35847657579998_23.234706690272183,NA,NA,24,6,0.0,0
-101.35847657579998_23.317226998408007,NA,NA,31,7,0.0,0
-101.80763421785971_24.139591567151705,NA,NA,19,4,0.0,0
-101.71780268944778_23.975534817529628,NA,NA,3,0,0.0,0
-101.62797116103582_24.139591567151705,NA,NA,3,0,0.0,0
-101.62797116103582_24.221541165812983,NA,NA,10,2,0.0,0
-101.62797116103582_24.46707325258056,NA,NA,1,0,0.0,0
-101.53813963262388_24.057589406269315,NA,NA,25,6,0.0,0
-101.53813963262388_24.30343806840572,NA,NA,29,7,0.0,0
-101.44830810421192_24.057589406269315,NA,NA,16,4,0.0,0
-101.35847657579998_24.057589406269315,NA,NA,21,5,0.0,0
-101.35847657579998_24.139591567151705,NA,NA,2,0,0.0,0
-101.35847657579998_24.30343806840572,NA,NA,21,5,0.0,0
-101.26864504738802_24.30343806840572,NA,NA,30,7,0.0,0
-101.26864504738802_24.46707325258056,NA,NA,15,3,0.0,0
-101.17881351897606_24.139591567151705,NA,NA,27,6,0.0,0
-101.17881351897606_24.30343806840572,NA,NA,24,6,0.0,0
-101.17881351897606_24.385282141599326,NA,NA,19,4,0.0,0
-100.99915046215216_24.46707325258056,NA,NA,34,8,0.0,0
-101.80763421785971_24.875229762108027,NA,NA,25,6,0.0,0
-101.80763421785971_25.20078829432483,NA,NA,27,6,0.0,0
-101.71780268944778_24.793705436249,NA,NA,20,5,0.0,0
-101.71780268944778_24.875229762108027,NA,NA,26,6,0.0,0
-101.71780268944778_25.28204259258345,NA,NA,38,9,0.0,0
-101.62797116103582_25.038117040038248,NA,NA,2,0,0.0,0
-101.53813963262388_24.793705436249,NA,NA,19,4,0.0,0
-101.35847657579998_25.119479734271003,NA,NA,27,6,0.0,0
-101.26864504738802_24.712127491887145,NA,NA,25,6,0.0,0
-101.26864504738802_24.793705436249,NA,NA,33,8,0.0,0
-100.99915046215216_25.119479734271003,NA,NA,20,5,0.0,0
-101.62797116103582_25.687495726925793,NA,NA,11,2,0.0,0
-101.53813963262388_25.687495726925793,NA,NA,25,6,0.0,0
-101.35847657579998_25.849292740029377,NA,NA,15,3,0.0,0
-101.35847657579998_26.01086869800926,NA,NA,6,1,0.0,0
-101.35847657579998_26.252816012613508,NA,NA,24,6,0.0,0
-101.26864504738802_26.01086869800926,NA,NA,39,9,0.0,0
-101.17881351897606_26.172222619697713,NA,NA,26,6,0.0,0
-101.80763421785971_26.574629652018167,NA,NA,0,0,0.0,0
-101.80763421785971_26.65494248133258,NA,NA,9,2,0.0,0
-101.80763421785971_26.975627931071763,NA,NA,8,2,0.0,0
-101.71780268944778_26.494260471520562,NA,NA,17,4,0.0,0
-101.71780268944778_26.574629652018167,NA,NA,6,1,0.0,0
-101.53813963262388_26.413835058545235,NA,NA,9,2,0.0,0
-101.53813963262388_26.494260471520562,NA,NA,8,2,0.0,0
-101.53813963262388_26.895541683016987,NA,NA,33,8,0.0,0
-101.35847657579998_26.333353532323734,NA,NA,10,2,0.0,0
-101.35847657579998_26.494260471520562,NA,NA,9,2,0.0,0
-101.35847657579998_26.574629652018167,NA,NA,6,1,0.0,0
-101.35847657579998_26.735198841284596,NA,NA,35,8,0.0,0
-101.26864504738802_26.65494248133258,NA,NA,2,0,0.0,0
-101.26864504738802_26.735198841284596,NA,NA,25,6,0.0,0
-101.26864504738802_27.055657242313234,NA,NA,5,1,0.0,0
-101.17881351897606_26.333353532323734,NA,NA,11,2,0.0,0
-101.17881351897606_26.494260471520562,NA,NA,15,3,0.0,0
-101.17881351897606_26.895541683016987,NA,NA,17,4,0.0,0
-101.08898199056412_26.333353532323734,NA,NA,3,0,0.0,0
-101.08898199056412_26.895541683016987,NA,NA,19,4,0.0,0
-100.99915046215216_26.333353532323734,NA,NA,10,2,0.0,0
-100.99915046215216_26.413835058545235,NA,NA,15,3,0.0,0
-100.99915046215216_26.494260471520562,NA,NA,1,0,0.0,0
-100.99915046215216_26.815398614221458,NA,NA,7,1,0.0,0
-101.80763421785971_27.215544592701203,NA,NA,3,0,0.0,0
-101.80763421785971_27.53463100303685,NA,NA,0,0,0.0,0
-101.80763421785971_27.61425855083609,NA,NA,0,0,0.0,0
-101.71780268944778_27.13562950119585,NA,NA,33,8,0.0,0
-101.71780268944778_27.53463100303685,NA,NA,4,1,0.0,0
-101.62797116103582_27.85279367098089,NA,NA,3,0,0.0,0
-101.44830810421192_27.13562950119585,NA,NA,31,7,0.0,0
-101.26864504738802_27.13562950119585,NA,NA,7,1,0.0,0
-101.26864504738802_27.295402402338105,NA,NA,16,4,0.0,0
-101.26864504738802_27.53463100303685,NA,NA,5,1,0.0,0
-101.17881351897606_27.295402402338105,NA,NA,31,7,0.0,0
-101.17881351897606_27.53463100303685,NA,NA,2,0,0.0,0
-101.17881351897606_27.69382825222259,NA,NA,31,7,0.0,0
-101.08898199056412_27.295402402338105,NA,NA,1,0,0.0,0
-101.08898199056412_27.375202816142718,NA,NA,8,2,0.0,0
-101.08898199056412_27.61425855083609,NA,NA,8,2,0.0,0
-100.99915046215216_27.295402402338105,NA,NA,0,0,0.0,0
-100.99915046215216_27.375202816142718,NA,NA,18,4,0.0,0
-100.99915046215216_27.53463100303685,NA,NA,2,0,0.0,0
-100.99915046215216_27.61425855083609,NA,NA,0,0,0.0,0
-101.80763421785971_28.486319482889648,NA,NA,0,0,0.0,0
-101.80763421785971_28.644112654258493,NA,NA,5,1,0.0,0
-101.71780268944778_27.93218916728376,NA,NA,8,2,0.0,0
-101.71780268944778_28.090805185022827,NA,NA,5,1,0.0,0
-101.71780268944778_28.407334281484882,NA,NA,0,0,0.0,0
-101.71780268944778_28.486319482889648,NA,NA,2,0,0.0,0
-101.71780268944778_28.565245642321226,NA,NA,4,1,0.0,0
-101.71780268944778_28.644112654258493,NA,NA,1,0,0.0,0
-101.62797116103582_27.93218916728376,NA,NA,30,7,0.0,0
-101.62797116103582_28.01152637503609,NA,NA,15,3,0.0,0
-101.62797116103582_28.090805185022827,NA,NA,2,0,0.0,0
-101.62797116103582_28.170025488556703,NA,NA,0,0,0.0,0
-101.62797116103582_28.24918717747822,NA,NA,0,0,0.0,0
-101.62797116103582_28.328290144155623,NA,NA,0,0,0.0,0
-101.62797116103582_28.407334281484882,NA,NA,0,0,0.0,0
-101.53813963262388_28.01152637503609,NA,NA,12,3,0.0,0
-101.17881351897606_28.090805185022827,NA,NA,4,1,0.0,0
-101.08898199056412_27.93218916728376,NA,NA,2,0,0.0,0
-101.08898199056412_28.170025488556703,NA,NA,2,0,0.0,0
-101.08898199056412_28.24918717747822,NA,NA,1,0,0.0,0
-101.80763421785971_28.722920413707833,NA,NA,13,3,0.0,0
-101.62797116103582_29.27290695146803,NA,NA,5,1,0.0,0
-101.53813963262388_29.19451685496179,NA,NA,8,2,0.0,0
-101.53813963262388_29.27290695146803,NA,NA,4,1,0.0,0
-101.44830810421192_29.19451685496179,NA,NA,13,3,0.0,0
-101.26864504738802_29.19451685496179,NA,NA,3,0,0.0,0
-101.26864504738802_29.27290695146803,NA,NA,1,0,0.0,0
-101.17881351897606_29.27290695146803,NA,NA,1,0,0.0,0
-101.08898199056412_29.27290695146803,NA,NA,9,2,0.0,0
-101.08898199056412_29.351236974517178,NA,NA,12,3,0.0,0
-101.08898199056412_29.429506823858794,NA,NA,15,3,0.0,0
-100.99915046215216_28.722920413707833,NA,NA,30,7,0.0,0
-102.34662338833144_18.45118671128534,NA,NA,25,6,0.0,0
-102.07712880309558_18.45118671128534,NA,NA,44,11,0.0,0
