year,id_lower,id_upper,population,area_km2,population_km2,users,cells_to_build,radio,cost,population_served,motorway,primary,secondary,tertiary,trunk,total,attractiveness
2000,-99.56184600756092_19.30118067727593,-99.6067617717669_19.25824126810751,333868,89,3751.325842696629,83467.0,9,gsm,900000,333868,59.9,50.2,86.2,89.3,3.7,289.3,599000.0
2000,-99.20251989391312_19.04663635567089,-99.6067617717669_19.25824126810751,14960,89,168.08988764044943,3740.0,1,gsm,100000,14960,59.4,21.4,0.0,14.7,0.0,95.5,594000.0
2000,-103.51443325768682_20.06242360245848,-103.20002290824499_20.104045576200285,5057,88,57.46590909090909,1264.25,1,gsm,100000,5057,59.3,12.2,0.0,3.7,0.0,75.2,593000.0
2000,-99.29235142232508_19.38594112873661,-99.6067617717669_19.25824126810751,402968,89,4527.730337078651,100742.0,11,gsm,1100000,402968,58.9,24.6,108.8,145.5,21.6,359.40000000000003,589000.0
2000,-103.51443325768682_20.399580758267938,-103.20002290824499_20.104045576200285,4495,87,51.66666666666666,1123.75,1,gsm,100000,4495,58.7,33.4,0.0,5.9,5.5,103.5,587000.0
2000,-100.46016129168045_20.736001700460776,-100.50507705588642_20.945304610476846,56606,87,650.6436781609195,14151.5,2,gsm,200000,56606,58.6,0.0,41.1,58.5,0.0,158.2,586000.0
2000,-99.20251989391312_19.639957238996963,-99.6067617717669_19.25824126810751,637804,88,7247.772727272727,159451.0,16,gsm,1600000,637804,58.3,45.9,107.3,132.0,16.1,359.6,583000.0
2000,-103.69409631451072_25.119479734271003,-104.09833819236451_25.078136039742063,53,82,0.6463414634146342,13.25,1,gsm,100000,53,58.0,5.7,0.0,0.0,0.0,63.7,580000.0
2000,-99.74150906438481_16.910656703520466,-99.6067617717669_16.69518720754164,4545,91,49.94505494505494,1136.25,1,gsm,100000,4545,56.1,0.0,0.0,27.3,0.0,83.4,561000.0
2000,-104.5025800702183_21.071676463670826,-104.09833819236451_20.945304610476846,10173,87,116.93103448275862,2543.25,1,gsm,100000,10173,56.0,0.0,19.0,12.1,15.6,102.7,560000.0
2000,-100.46016129168045_20.651966032043,-100.50507705588642_20.945304610476846,278569,87,3201.942528735632,69642.25,7,gsm,700000,278569,55.6,0.0,117.5,119.3,27.2,319.6,556000.0
2000,-100.5499928200924_21.155477408046544,-100.50507705588642_20.945304610476846,6540,87,75.17241379310344,1635.0,1,gsm,100000,6540,55.4,0.0,0.0,0.0,0.0,55.4,554000.0
2000,-100.5499928200924_23.317226998408007,-100.50507705588642_23.440275316683813,501,84,5.964285714285714,125.25,1,gsm,100000,501,55.3,0.0,0.0,5.1,0.0,60.4,553000.0
2000,-98.75336225185336_19.30118067727593,-98.70844648764738_19.25824126810751,4143,89,46.550561797752806,1035.75,1,gsm,100000,4143,55.2,26.2,0.0,0.0,0.0,81.4,552000.0
2000,-103.51443325768682_20.14678136179733,-103.20002290824499_20.104045576200285,1995,88,22.670454545454547,498.75,1,gsm,100000,1995,55.1,19.2,15.6,0.0,0.0,89.89999999999999,551000.0
2000,-100.3703297632685_24.385282141599326,-100.50507705588642_24.261843284963483,118,83,1.4216867469879515,29.5,1,gsm,100000,118,55.0,0.0,0.0,12.8,0.0,67.8,550000.0
2000,-99.56184600756092_19.978020459734232,-99.6067617717669_20.104045576200285,54265,88,616.6477272727273,13566.25,2,gsm,200000,54265,55.0,24.4,41.8,50.1,0.0,171.3,550000.0
2000,-99.74150906438481_25.606514633611518,-99.6067617717669_25.889022851998433,128,81,1.5802469135802468,32.0,1,gsm,100000,128,54.9,28.2,0.0,11.7,0.0,94.8,549000.0
2000,-87.61425272877129_20.903932972415895,-87.92866307821312_20.945304610476846,1399,87,16.080459770114942,349.75,1,gsm,100000,1399,54.5,13.9,6.6,0.0,0.0,75.0,545000.0
2000,-103.69409631451072_26.172222619697713,-104.09833819236451_25.889022851998433,29,80,0.3625,7.25,1,gsm,100000,29,54.0,0.0,12.7,0.0,0.0,66.7,540000.0
2000,-106.47887369528124_30.441494401135728,-106.79328404472308_30.634157640604073,20,74,0.2702702702702703,5.0,1,gsm,100000,20,53.7,0.0,0.0,0.0,0.0,53.7,537000.0
2000,-99.11268836550116_19.38594112873661,-98.70844648764738_19.25824126810751,1265228,89,14216.044943820223,316307.0,32,gsm,3200000,1265228,53.7,259.9,146.6,234.3,29.7,724.2,537000.0
2000,-99.47201447914898_17.6825723188687,-99.6067617717669_17.55364439805181,224,90,2.488888888888889,56.0,1,gsm,100000,224,52.7,0.0,0.0,11.7,0.0,64.4,527000.0
2000,-101.62797116103582_25.525478648254804,-101.40339234000594_25.889022851998433,140,81,1.728395061728395,35.0,1,gsm,100000,140,52.5,0.0,0.0,5.4,0.0,57.9,525000.0
2000,-99.83134059279678_16.910656703520466,-99.6067617717669_16.69518720754164,383122,91,4210.131868131868,95780.5,10,gsm,1000000,383122,52.5,37.8,21.8,11.1,4.1,127.29999999999998,525000.0
2000,-100.1906667064446_26.01086869800926,-100.50507705588642_25.889022851998433,8441,80,105.5125,2110.25,1,gsm,100000,8441,51.3,2.1,0.0,14.8,0.0,68.2,513000.0
2000,-103.24493867245096_20.399580758267938,-103.20002290824499_20.104045576200285,41802,87,480.4827586206897,10450.5,2,gsm,200000,41802,51.2,13.3,0.0,30.5,29.5,124.5,512000.0
2000,-88.24307342765495_20.736001700460776,-87.92866307821312_20.945304610476846,20661,87,237.48275862068965,5165.25,1,gsm,100000,20661,51.2,29.7,19.1,11.1,0.0,111.1,512000.0
2000,-100.81948740532826_22.07412590125628,-100.50507705588642_21.781862442026636,10095,85,118.76470588235294,2523.75,1,gsm,100000,10095,51.1,14.4,8.2,26.2,0.0,99.9,511000.0
2000,-103.69409631451072_20.81999073208341,-104.09833819236451_20.945304610476846,23984,87,275.67816091954023,5996.0,1,gsm,100000,23984,50.8,0.0,0.0,26.1,20.7,97.6,508000.0
2000,-116.98916251947963_32.2823209049519,-116.6747521700378_32.16754498931748,4704,56,84.0,1176.0,1,gsm,100000,4704,50.8,0.0,0.0,5.2,25.7,81.7,508000.0
2000,-104.41274854180634_21.071676463670826,-104.09833819236451_20.945304610476846,26809,87,308.14942528735634,6702.25,1,gsm,100000,26809,50.7,0.0,28.5,8.4,15.4,103.0,507000.0
2000,-98.75336225185336_25.93010841242947,-98.70844648764738_25.889022851998433,70,81,0.8641975308641975,17.5,1,gsm,100000,70,50.6,9.8,0.0,0.0,0.0,60.400000000000006,506000.0
2000,-99.38218295073702_25.76842180371728,-99.6067617717669_25.889022851998433,46,81,0.5679012345679012,11.5,1,gsm,100000,46,50.6,12.3,20.0,1.3,0.0,84.2,506000.0
2000,-105.04156924069_27.45494572067861,-104.99665347648403_27.494081813419797,10,78,0.1282051282051282,2.5,1,gsm,100000,10,50.5,0.0,0.0,0.0,0.0,50.5,505000.0
2000,-99.02285683708922_19.978020459734232,-98.70844648764738_20.104045576200285,23345,88,265.28409090909093,5836.25,1,gsm,100000,23345,50.5,0.0,4.8,35.9,0.0,91.2,505000.0
2000,-101.17881351897606_19.893572092467096,-101.40339234000594_20.104045576200285,22491,88,255.57954545454547,5622.75,1,gsm,100000,22491,50.4,5.7,0.0,44.6,34.2,134.9,504000.0
2000,-100.7296558769163_21.490205623732116,-100.50507705588642_21.781862442026636,3257,86,37.872093023255815,814.25,1,gsm,100000,3257,50.1,0.0,5.1,0.0,0.0,55.2,501000.0
2000,-103.06527561562706_20.56788388181208,-103.20002290824499_20.945304610476846,8984,87,103.26436781609196,2246.0,1,gsm,100000,8984,50.1,0.0,0.0,19.3,12.6,82.0,501000.0
2000,-100.46016129168045_21.071676463670826,-100.50507705588642_20.945304610476846,16779,87,192.86206896551724,4194.75,1,gsm,100000,16779,50.0,22.8,6.3,27.1,0.0,106.2,500000.0
2000,-103.51443325768682_20.23109357938729,-103.20002290824499_20.104045576200285,3559,88,40.44318181818182,889.75,1,gsm,100000,3559,50.0,0.0,0.0,0.0,0.0,50.0,500000.0
2000,-100.5499928200924_21.071676463670826,-100.50507705588642_20.945304610476846,11576,87,133.05747126436782,2894.0,1,gsm,100000,11576,49.5,0.0,18.6,7.8,0.0,75.89999999999999,495000.0
2000,-117.0789940478916_32.35823504729191,-116.6747521700378_32.16754498931748,87251,30,2908.366666666667,21812.75,3,gsm,300000,87251,49.0,0.0,13.1,23.6,33.8,119.5,490000.0
2000,-99.20251989391312_18.45118671128534,-99.6067617717669_18.408052407294335,457,90,5.0777777777777775,114.25,1,gsm,100000,457,49.0,0.0,25.9,7.3,0.0,82.2,490000.0
2000,-99.92117212120874_26.65494248133258,-99.6067617717669_26.694378202546382,2,80,0.025,0.5,1,gsm,100000,2,48.8,18.2,13.7,0.0,0.0,80.7,488000.0
2000,-104.59241159863024_26.975627931071763,-104.99665347648403_26.694378202546382,10,79,0.1265822784810126,2.5,1,gsm,100000,10,48.7,12.5,0.0,0.0,0.0,61.2,487000.0
2000,-100.46016129168045_20.56788388181208,-100.50507705588642_20.945304610476846,186378,87,2142.2758620689656,46594.5,5,gsm,500000,186378,48.5,0.6,50.5,95.3,44.9,239.8,485000.0
2000,-87.7939157855952_20.81999073208341,-87.92866307821312_20.945304610476846,765,87,8.793103448275861,191.25,1,gsm,100000,765,48.5,22.5,0.0,0.7,0.0,71.7,485000.0
