year,gid_id,cells_to_build,radio,cost,population_served
2014,MEX.14.63_1,18,gsm,540000,15765
2014,MEX.14.106_1,6,gsm,180000,5314
2014,MEX.14.28_1,8,gsm,240000,4372
2014,MEX.10.4_1,44,gsm,1320000,49709
2014,MEX.7.20_1,8,gsm,240000,65196
2014,MEX.6.26_1,6,gsm,180000,58598
2014,MEX.7.9_1,4,gsm,120000,38587
2014,MEX.14.55_1,2,gsm,60000,1896
2014,MEX.6.19_1,9,gsm,270000,11145
2014,MEX.6.30_1,24,gsm,720000,40132
2014,MEX.14.86_1,26,gsm,780000,15697
2014,MEX.14.66_1,4,gsm,120000,25690
2014,MEX.6.33_1,2,gsm,60000,21315
2014,MEX.6.64_1,5,gsm,150000,17223
2014,MEX.10.32_1,10,gsm,300000,47783
2014,MEX.10.31_1,3,gsm,90000,6024
2014,MEX.14.118_1,0,gsm,0,14915
2014,MEX.14.11_1,13,gsm,390000,3787
2014,MEX.6.48_1,3,gsm,90000,25567
2014,MEX.14.52_1,23,gsm,690000,8454
2014,MEX.7.30_1,6,gsm,180000,3142
2014,MEX.16.10_1,20,gsm,600000,22351
2014,MEX.6.22_1,5,gsm,150000,2710
2014,MEX.15.35_1,0,gsm,0,468
2014,MEX.6.52_1,25,gsm,750000,50954
2014,MEX.7.27_1,9,gsm,270000,14564
2014,MEX.10.23_1,35,gsm,1050000,51115
2014,MEX.6.8_1,2,gsm,60000,12822
2014,MEX.6.24_1,11,gsm,330000,4827
2014,MEX.14.73_1,1,gsm,30000,2923
2014,MEX.10.21_1,3,gsm,90000,11770
2014,MEX.13.4_1,0,gsm,0,484
2014,MEX.14.67_1,7,gsm,210000,4293
2014,MEX.6.51_1,9,gsm,270000,9746
2014,MEX.6.28_1,12,gsm,360000,57647
2014,MEX.14.74_1,6,gsm,180000,3100
2014,MEX.4.4_1,122,gsm,3660000,129705
2015,MEX.14.31_1,5,gsm,150000,3190
2015,MEX.6.6_1,5,gsm,150000,4798
2015,MEX.16.24_1,0,gsm,0,17796
2015,MEX.10.34_1,7,gsm,210000,28262
2015,MEX.12.74_1,0,gsm,0,12178
2015,MEX.14.42_1,2,gsm,60000,4437
2015,MEX.6.29_1,7,gsm,210000,16812
2015,MEX.7.1_1,8,gsm,240000,3139
2015,MEX.10.16_1,4,gsm,120000,11720
2015,MEX.6.23_1,4,gsm,120000,6567
2015,MEX.4.6_1,19,gsm,570000,59327
2015,MEX.10.12_1,4,gsm,120000,13720
2015,MEX.12.18_1,0,gsm,0,1194
2015,MEX.16.19_1,1,gsm,30000,4878
2015,MEX.14.82_1,6,gsm,180000,5203
2015,MEX.6.15_1,2,gsm,60000,8661
2015,MEX.12.30_1,2,gsm,60000,12110
2015,MEX.6.54_1,13,gsm,390000,12954
2015,MEX.10.33_1,3,gsm,90000,7751
2015,MEX.10.15_1,3,gsm,90000,40085
2015,MEX.7.11_1,47,gsm,1410000,13889
2015,MEX.6.40_1,13,gsm,390000,34743
2015,MEX.10.36_1,50,gsm,1500000,18375
2015,MEX.10.2_1,0,gsm,0,3916
2015,MEX.7.25_1,116,gsm,3480000,48667
2015,MEX.6.11_1,38,gsm,1140000,53184
2015,MEX.6.35_1,56,gsm,1680000,46085
2015,MEX.7.14_1,4,gsm,120000,11066
2015,MEX.7.23_1,8,gsm,240000,3763
2015,MEX.4.7_1,7,gsm,210000,9871
2015,MEX.6.43_1,6,gsm,180000,2084
2015,MEX.6.12_1,4,gsm,120000,8969
2015,MEX.6.25_1,7,gsm,210000,2052
2015,MEX.2.3_1,54,gsm,1620000,117720
2015,MEX.7.37_1,3,gsm,90000,6706
2015,MEX.6.39_1,2,gsm,60000,4915
2015,MEX.6.7_1,7,gsm,210000,20402
2015,MEX.10.18_1,9,gsm,270000,10772
2015,MEX.6.32_1,5,gsm,150000,3014
2015,MEX.6.34_1,22,gsm,660000,21551
2015,MEX.6.2_1,28,gsm,840000,27088
2015,MEX.6.21_1,5,gsm,150000,3957
2015,MEX.6.47_1,1,gsm,30000,6307
2015,MEX.6.49_1,3,gsm,90000,5057
2015,MEX.6.63_1,5,gsm,150000,17385
2015,MEX.6.10_1,20,gsm,600000,15485
2015,MEX.6.58_1,2,gsm,60000,1967
2015,MEX.10.14_1,13,gsm,390000,16310
2015,MEX.6.66_1,20,gsm,600000,7210
2015,MEX.10.35_1,1,gsm,30000,14503
2015,MEX.6.37_1,1,gsm,30000,9173
2015,MEX.6.56_1,1,gsm,30000,2253
2015,MEX.10.10_1,0,gsm,0,10414
2015,MEX.6.5_1,11,gsm,330000,24487
2015,MEX.6.57_1,2,gsm,60000,2299
2015,MEX.10.6_1,0,gsm,0,7489
2015,MEX.7.7_1,9,gsm,270000,14348
2015,MEX.7.13_1,4,gsm,120000,3421
2015,MEX.7.34_1,2,gsm,60000,15227
2015,MEX.7.38_1,4,gsm,120000,12447
2015,MEX.6.61_1,8,gsm,240000,3744
2015,MEX.7.8_1,9,gsm,270000,1741
2015,MEX.6.27_1,0,gsm,0,7426
2015,MEX.7.12_1,3,gsm,90000,3603
2015,MEX.6.16_1,0,gsm,0,2612
2015,MEX.7.21_1,0,gsm,0,562
2015,MEX.15.15_1,1,gsm,30000,120
2015,MEX.7.5_1,1,gsm,30000,2097
2015,MEX.10.11_1,9,gsm,270000,4750
2015,MEX.6.59_1,0,gsm,0,332
2015,MEX.6.55_1,3,gsm,90000,1391
2015,MEX.6.1_1,45,gsm,1350000,10221
2015,MEX.6.42_1,2,gsm,60000,2996
2015,MEX.6.31_1,2,gsm,60000,852
2015,MEX.7.24_1,3,gsm,90000,10244
2015,MEX.15.9_1,10,gsm,300000,67
2015,MEX.7.32_1,1,gsm,30000,2538
2015,MEX.6.17_1,5,gsm,150000,2835
2015,MEX.6.50_1,0,gsm,0,636
