id_lower,year,radio,population,users,attractiveness,cells_to_build
-102.52628644515534_27.295402402338105,,,0,0,0.0,0
-102.52628644515534_27.773339995870302,,,1,0,0.0,0
-102.52628644515534_27.85279367098089,,,0,0,0.0,0
-102.4364549167434_27.375202816142718,,,0,0,0.0,0
-102.4364549167434_27.53463100303685,,,0,0,0.0,0
-102.4364549167434_27.61425855083609,,,2,0,0.0,0
-102.4364549167434_27.69382825222259,,,27,6,0.0,0
-102.4364549167434_27.773339995870302,,,30,7,0.0,0
-102.34662338833144_27.215544592701203,,,3,0,0.0,0
-102.34662338833144_27.375202816142718,,,0,0,0.0,0
-102.34662338833144_27.45494572067861,,,2,0,0.0,0
-102.34662338833144_27.53463100303685,,,1,0,0.0,0
-102.2567918599195_27.13562950119585,,,27,6,0.0,0
-102.2567918599195_27.215544592701203,,,6,1,0.0,0
-102.2567918599195_27.375202816142718,,,0,0,0.0,0
-102.16696033150754_27.13562950119585,,,12,3,0.0,0
-102.16696033150754_27.375202816142718,,,1,0,0.0,0
-102.07712880309558_27.375202816142718,,,0,0,0.0,0
-101.98729727468364_27.375202816142718,,,0,0,0.0,0
-101.98729727468364_27.53463100303685,,,6,1,0.0,0
-101.98729727468364_27.61425855083609,,,8,2,0.0,0
-101.89746574627168_27.61425855083609,,,11,2,0.0,0
-102.70594950197923_27.93218916728376,,,0,0,0.0,0
-102.70594950197923_28.01152637503609,,,1,0,0.0,0
-102.70594950197923_28.407334281484882,,,27,6,0.0,0
-102.70594950197923_28.486319482889648,,,7,1,0.0,0
-102.70594950197923_28.644112654258493,,,3,0,0.0,0
-102.6161179735673_27.93218916728376,,,1,0,0.0,0
-102.6161179735673_28.407334281484882,,,7,1,0.0,0
-102.6161179735673_28.565245642321226,,,0,0,0.0,0
-102.6161179735673_28.644112654258493,,,1,0,0.0,0
-102.52628644515534_27.93218916728376,,,3,0,0.0,0
-102.34662338833144_28.644112654258493,,,1,0,0.0,0
-102.2567918599195_28.644112654258493,,,0,0,0.0,0
-102.16696033150754_28.644112654258493,,,0,0,0.0,0
-102.07712880309558_28.565245642321226,,,0,0,0.0,0
-102.07712880309558_28.644112654258493,,,0,0,0.0,0
-101.98729727468364_28.565245642321226,,,0,0,0.0,0
-101.89746574627168_28.486319482889648,,,0,0,0.0,0
-101.89746574627168_28.565245642321226,,,0,0,0.0,0
-102.70594950197923_28.722920413707833,,,13,3,0.0,0
-102.70594950197923_28.801668816203076,,,2,0,0.0,0
-102.70594950197923_28.88035775780543,,,1,0,0.0,0
-102.70594950197923_29.351236974517178,,,1,0,0.0,0
-102.6161179735673_28.722920413707833,,,1,0,0.0,0
-102.6161179735673_28.801668816203076,,,0,0,0.0,0
-102.6161179735673_29.27290695146803,,,3,0,0.0,0
-102.6161179735673_29.351236974517178,,,3,0,0.0,0
-102.52628644515534_28.722920413707833,,,0,0,0.0,0
-102.52628644515534_29.19451685496179,,,3,0,0.0,0
-102.52628644515534_29.27290695146803,,,4,1,0.0,0
-102.4364549167434_28.722920413707833,,,0,0,0.0,0
-102.4364549167434_29.037556845212443,,,10,2,0.0,0
-102.4364549167434_29.116066785775388,,,4,1,0.0,0
-102.4364549167434_29.19451685496179,,,21,5,0.0,0
-102.34662338833144_28.722920413707833,,,0,0,0.0,0
-102.34662338833144_28.801668816203076,,,1,0,0.0,0
-102.34662338833144_28.88035775780543,,,1,0,0.0,0
-102.34662338833144_28.95898713510335,,,0,0,0.0,0
-102.34662338833144_29.037556845212443,,,2,0,0.0,0
-102.2567918599195_28.722920413707833,,,0,0,0.0,0
-102.2567918599195_28.801668816203076,,,1,0,0.0,0
-101.89746574627168_28.722920413707833,,,0,0,0.0,0
-103.60426478609878_19.80907865997758,,,37,9,0.0,0
-103.51443325768682_21.322936931606314,,,21,5,0.0,0
-103.51443325768682_21.40659520719035,,,10,2,0.0,0
-103.51443325768682_21.573768030665356,,,12,3,0.0,0
-103.42460172927488_21.40659520719035,,,5,1,0.0,0
-103.60426478609878_22.24052103602208,,,24,6,0.0,0
-103.60426478609878_22.406718801972914,,,11,2,0.0,0
-103.15510714403902_22.65564284333943,,,33,8,0.0,0
-103.60426478609878_23.069513046210616,,,11,2,0.0,0
-103.51443325768682_23.399696111112384,,,24,6,0.0,0
-103.51443325768682_23.48211388939773,,,17,4,0.0,0
-103.42460172927488_23.069513046210616,,,23,5,0.0,0
-103.42460172927488_23.317226998408007,,,28,7,0.0,0
-103.15510714403902_23.48211388939773,,,38,9,0.0,0
-102.9754440872151_23.564480194787976,,,30,7,0.0,0
